Location ID,nearest_tract,mi_1_tracts,mi_10_tracts,mi_20_tracts,mi_1_tract_count
01f4a9f4,,,,,6
01fc61af,,,,,6
03f04b18,,,,,3
0613B60B,,,,,7
07a25bc2,,,,,0
07A25BC2,,,,,0
08db54f2,,,,,3
0A530A39,,,,,0
0a6a618e,,,,,4
0b11ab6c,,,,,10
0B978100,,,,,5
0bf451a0,,,,,3
104d879c,,,,,0
109b5c0a,,,,,0
109B5C0A,,,,,0
11452c70,,,,,2
11c42041,,,,,2
14435f25,,,,,1
14435F25,,,,,1
147E5D53,,,,,1
14BF3F21,,,,,1
1533D68F,,,,,0
15eab8da,,,,,5
17795863,,,,,0
1916a854,,,,,6
1e5cc3ec,,,,,3
1e78aa4e,,,,,2
1E78AA4E,,,,,2
204F1B14,,,,,0
2066cb55,,,,,2
20a3081d,,,,,3
21a74e7a,,,,,0
23d3ec70,,,,,0
23D3EC70,,,,,0
241b358f,,,,,2
244fd879,,,,,1
244FD879,,,,,1
255df333,,,,,3
25c0e7cc,,,,,7
279975be,,,,,0
279975BE,,,,,0
29100813,,,,,0
29183f46,,,,,0
29183F46,,,,,0
2a51faeb,,,,,2
2A51FAEB,,,,,2
2a9bc965,,,,,0
2a9ead46,,,,,0
2A9EAD46,,,,,0
2c9464fa,,,,,0
2e042d27,,,,,6
2e7007f7,,,,,1
2E7007F7,,,,,1
2eb6ed23,,,,,2
2efcabc1,,,,,4
2f8d99cf,,,,,0
31bbb7c1,,,,,5
31fdf233,,,,,1
31FDF233,,,,,1
3314B1C2,,,,,6
34b6edb9,,,,,1
3589750e,,,,,0
35d91386,,,,,0
35D91386,,,,,0
363b236f,,,,,0
36610D4C,,,,,3
36ED2BED,,,,,3
37B6CC45,,,,,0
37eaa59c,,,,,0
37EAA59C,,,,,0
38bd9a93,,,,,1
394cb5ba,,,,,1
398c34fa,,,,,0
3eb17a02,,,,,0
3ff34183,,,,,4
4282439d,,,,,5
4457ae80,,,,,2
44597dd8,,,,,0
44597DD8,,,,,0
4549624B,,,,,3
45dbfc58,,,,,3
468ff914,,,,,0
468FF914,,,,,0
473c0104,,,,,0
473C0104,,,,,0
486243cf,,,,,5
48856976,,,,,3
48da059f,,,,,1
4BB4FAEF,,,,,3
4bdfc177,,,,,1
4db65427,,,,,1
4e328b31,,,,,3
4ec41cb9,,,,,0
4EC41CB9,,,,,0
4F16753C,,,,,4
5002edec,,,,,0
50b9b6e7,,,,,0
53bc9f48,,,,,0
53BC9F48,,,,,0
57f43e11,,,,,3
5816bbd2,,,,,0
587e2b8d,,,,,4
594e79f1,,,,,1
59d6da07,,,,,1
5ba3358a,,,,,2
5c76edd9,,,,,6
5d468d34,,,,,0
602d4172,,,,,4
602D4172,,,,,4
64098994,,,,,3
6423df71,,,,,2
6423DF71,,,,,2
64bf5bd4,,,,,5
64BF5BD4,,,,,5
64c5f008,,,,,4
64C5F008,,,,,4
665263d2,,,,,1
6766ff14,,,,,1
6766FF14,,,,,1
6a510ec3,,,,,0
6A510EC3,,,,,0
6aee61a6,,,,,4
6e20653b,,,,,0
6EBA3CD3,,,,,5
70B3D04E,,,,,3
71f678b5,,,,,4
720017ca,,,,,0
7293b93f,,,,,5
7330d85b,,,,,1
74453c1e,,,,,0
748ffce8,,,,,0
748FFCE8,,,,,0
773b86da,,,,,1
773B86DA,,,,,1
7806Feb2,,,,,6
79104f24,,,,,1
7a916ac8,,,,,0
7A916AC8,,,,,0
7c9d6673,,,,,0
7C9D6673,,,,,0
7ca734a0,,,,,1
7CA734A0,,,,,1
7CEEE37D,,,,,4
7DE99F97,,,,,5
7f425c14,,,,,4
7f9e3113,,,,,2
831214cf,,,,,4
831214CF,,,,,4
84963B3B,,,,,0
856b14e3,,,,,5
87d36824,,,,,1
87D36824,,,,,1
88245629,,,,,4
8880e26d,,,,,0
8880E26D,,,,,0
894ed53b,,,,,2
894ED53B,,,,,2
8981b911,,,,,3
8981B911,,,,,3
89AAE5C7,,,,,0
8ed1f89b,,,,,2
8f5069b7,,,,,0
9005D370,,,,,6
905a6e91,,,,,1
917081a4,,,,,0
9200da94,,,,,4
960896ae,,,,,0
960896AE,,,,,0
963c7d30,,,,,0
963C7D30,,,,,0
96d1b26f,,,,,0
96D1B26F,,,,,0
997b3a4a,,,,,8
99b65123,,,,,6
9a7e8c7a,,,,,3
9A7E8C7A,,,,,3
9D5E6322,,,,,3
9e85b454,,,,,2
9fc2c2b6,,,,,2
9FC2C2B6,,,,,2
a03d955c,,,,,4
A03D955C,,,,,4
a08828ca,,,,,2
A08828CA,,,,,2
a115cfe6,,,,,4
A115CFE6,,,,,4
a28bdf34,,,,,0
A28BDF34,,,,,0
a3034cab,,,,,2
A3034CAB,,,,,2
a35a6464,,,,,0
a3c37517,,,,,2
A3C37517,,,,,2
a4015bcf,,,,,4
A4015BCF,,,,,4
a9d283e2,,,,,2
aba0327e,,,,,0
AD024,,,,,1
AD046,,,,,3
ae0120b3,,,,,3
afe10ca7,,,,,4
AL003,,,,,0
AL009,,,,,1
AR049,,,,,2
AR056,,,,,2
AR068,,,,,3
AU001,,,,,5
AU002,,,,,10
b1881933,,,,,2
b37e85ca,,,,,4
b4e1a0bd,,,,,2
b5e3cbbf,,,,,0
b5fa341c,,,,,2
b614f179,,,,,4
b6ce29e3,,,,,0
b6e1d45c,,,,,1
B6E1D45C,,,,,1
b7849303,,,,,0
b7b4971e,,,,,0
B7B4971E,,,,,0
b800f718,,,,,0
B8AB301E,,,,,5
b995dc5c,,,,,5
b9998c22,,,,,6
B9998C22,,,,,6
b9e68872,,,,,2
bb10d2bb,,,,,0
BB10D2BB,,,,,0
bbaea594,,,,,0
bbedf48b,,,,,5
bc64cedf,,,,,0
bca83d49,,,,,1
BCA83D49,,,,,1
BCCE6DC6,,,,,6
BD023,,,,,0
BD027,,,,,2
BD033,,,,,4
BF734981,,,,,5
BR009,,,,,2
BR010,,,,,2
c091d0f5,,,,,4
c12a0232,,,,,0
C12A0232,,,,,0
c1925840,,,,,5
C1925840,,,,,5
c205c493,,,,,0
c246235d,,,,,1
C246235D,,,,,1
c4c05868,,,,,0
c4f2cf8d,,,,,1
c50b4f2c,,,,,4
c96748f6,,,,,0
cb1653e1,,,,,6
cc1c12a3,,,,,1
CC1C12A3,,,,,1
cc634c06,,,,,1
cc752cff,,,,,3
cf609959,,,,,3
CH002,,,,,1
CJ006,,,,,0
D4A4F81A,,,,,4
d591bcb0,,,,,0
D591BCB0,,,,,0
d59476dc,,,,,2
d6a67f8f,,,,,2
D6A67F8F,,,,,2
d78730c0,,,,,0
d80f8164,,,,,0
d81229d8,,,,,0
d93335f7,,,,,0
D93335F7,,,,,0
da6bb815,,,,,4
dc002,,,,,1
dc003,,,,,1
dc004,,,,,1
dc005,,,,,5
dc009,,,,,3
DC010,,,,,4
dc011,,,,,0
dc013,,,,,2
dc014,,,,,0
DC014,,,,,0
dc015,,,,,6
dc017,,,,,3
dc022,,,,,2
dc023,,,,,3
dc026,,,,,0
dc029,,,,,0
dc030,,,,,0
dc031,,,,,1
DC031,,,,,1
dc032,,,,,3
DC033,,,,,11
dc035,,,,,0
DC035,,,,,0
dc036,,,,,0
DC036,,,,,0
dc039,,,,,4
dc041,,,,,1
dc042,,,,,0
dc044,,,,,0
dc047,,,,,3
dc048,,,,,2
dc055,,,,,0
dc056,,,,,0
dc057,,,,,0
dc059,,,,,0
dc060,,,,,0
dc061,,,,,3
dc062,,,,,0
dc063,,,,,0
dc064,,,,,0
dc066,,,,,1
dc067,,,,,1
dc068,,,,,11
DC068,,,,,11
dc069,,,,,5
dc071,,,,,2
DC071,,,,,2
dc074,,,,,0
DC074,,,,,0
dc075,,,,,5
DC075,,,,,5
dc078,,,,,1
dc079,,,,,0
DC079,,,,,0
dc080,,,,,0
DC080,,,,,0
dc081,,,,,1
dc082,,,,,1
dc083,,,,,1
dc085,,,,,3
dc086,,,,,0
dc087,,,,,0
dc089,,,,,0
DL006,,,,,0
DL009,,,,,0
DL012,,,,,0
DL017,,,,,0
DV042,,,,,1
DV046,,,,,2
DV050,,,,,3
DV063,,,,,8
DV076,,,,,6
DV080,,,,,8
DV094,,,,,1
e0a10c0b,,,,,0
E0A10C0B,,,,,0
e0a98668,,,,,0
e10712ab,,,,,3
e1672ff0,,,,,3
e1ef2f73,,,,,5
e20b9e43,,,,,1
e28a3639,,,,,5
e3c68e1a,,,,,4
e4995186,,,,,6
E4995186,,,,,6
e530b1ae,,,,,5
E530B1AE,,,,,5
e5d58bd6,,,,,3
E5D58BD6,,,,,3
e5ea581a,,,,,1
e693b846,,,,,3
E693B846,,,,,3
e7008628,,,,,8
e703551a,,,,,5
e72c36f7,,,,,0
e808e16f,,,,,6
e81e0bc9,,,,,0
e8c20018,,,,,0
E8C20018,,,,,0
E9B2AA09,,,,,3
ea7c59a9,,,,,1
EA7C59A9,,,,,1
EB002,,,,,0
eb7db3fc,,,,,0
EB7DB3FC,,,,,0
ebf099c6,,,,,4
EBF099C6,,,,,4
ec11a992,,,,,4
ed052ccb,,,,,0
ef3631f6,,,,,4
EF3631F6,,,,,4
EG006,,,,,0
EG018,,,,,0
f3088335,,,,,1
f3f1d259,,,,,3
f7077b84,,,,,1
f7866343,,,,,0
f7bb6fcd,,,,,0
f9758271,,,,,4
fb001,,,,,1
FB001,,,,,1
fb002,,,,,1
fb004,,,,,0
fb005,,,,,3
fb006,,,,,1
fb007,,,,,5
fb008,,,,,1
fb009,,,,,1
fb010,,,,,1
fb011,,,,,0
FB011,,,,,0
fb013,,,,,0
FB013,,,,,0
fb014,,,,,0
fb015,,,,,0
FB015,,,,,0
fb016,,,,,2
fb017,,,,,2
fb019,,,,,0
fb020,,,,,2
fb021,,,,,2
fb022,,,,,4
fb023,,,,,4
fb026,,,,,3
fb027,,,,,2
fb028,,,,,6
fb029,,,,,1
fb030,,,,,2
fb031,,,,,1
fb032,,,,,3
fb033,,,,,0
fb034,,,,,7
fb035,,,,,4
fb037,,,,,1
fb038,,,,,3
fb039,,,,,3
fb040,,,,,1
fb041,,,,,0
fb043,,,,,1
fb044,,,,,5
fb045,,,,,8
fb046,,,,,5
fb047,,,,,5
fb053,,,,,0
FB053,,,,,0
fb101,,,,,0
fb102,,,,,1
fb103,,,,,2
fb104,,,,,4
fb105,,,,,2
fb110,,,,,2
fb115,,,,,1
fb116,,,,,3
fb118,,,,,8
fb119,,,,,1
fb121,,,,,6
fb123,,,,,4
fb124,,,,,3
fb125,,,,,3
fb126,,,,,6
fb127,,,,,4
fb128,,,,,1
fb129,,,,,1
fb130,,,,,8
fb131,,,,,6
fb132,,,,,3
fb133,,,,,4
fb134,,,,,0
fb135,,,,,1
fb136,,,,,0
fb138,,,,,1
fb142,,,,,0
fb143,,,,,1
fb144,,,,,4
fb146,,,,,4
FB146,,,,,4
fb147,,,,,0
fb148,,,,,1
fb149,,,,,2
fb150,,,,,0
FB150,,,,,0
fb151,,,,,0
fb152,,,,,0
FB152,,,,,0
fb154,,,,,4
FB154,,,,,4
fb155,,,,,5
fb156,,,,,1
fb157,,,,,2
fb158,,,,,1
fb160,,,,,0
fb161,,,,,3
FB162,,,,,1
fb164,,,,,0
fb165,,,,,0
fb166,,,,,0
fb167,,,,,1
FB167,,,,,1
fd5ab014,,,,,0
FD5AB014,,,,,0
fe12a035,,,,,9
FE248422,,,,,2
ff26ac7a,,,,,5
ff63e5dc,,,,,6
FR009,,,,,3
FR015,,,,,1
GR005,,,,,6
GU006,,,,,0
GU007,,,,,1
HU003,,,,,0
HU006,,,,,0
jn001,,,,,1
jn002,,,,,3
jn003,,,,,0
jn004,,,,,1
jn005,,,,,0
jn007,,,,,0
jn008,,,,,2
jn009,,,,,0
jn010,,,,,0
jn011,,,,,2
jn012,,,,,0
jn013,,,,,0
jn014,,,,,5
jn015,,,,,0
jn016,,,,,4
jn017,,,,,0
jn018,,,,,0
jn019,,,,,5
jn020,,,,,3
jn022,,,,,7
jn023,,,,,1
jn024,,,,,0
jn025,,,,,1
jn026,,,,,0
jn028,,,,,2
jn031,,,,,1
JN031,,,,,1
jn032,,,,,0
JN032,,,,,0
jn033,,,,,0
jn034,,,,,1
jn035,,,,,0
JU001,,,,,0
JU004,,,,,2
JU005,,,,,4
JU006,,,,,2
JU008,,,,,2
JU009,,,,,10
JU010,,,,,5
JU013,,,,,0
JU014,,,,,3
JU016,,,,,0
JU018,,,,,4
JU020,,,,,4
JU021,,,,,4
JU022,,,,,2
JU024,,,,,2
JU025,,,,,0
JU027,,,,,4
JU028,,,,,4
JU029,,,,,1
JU031,,,,,4
JU035,,,,,0
JU037,,,,,0
JU042,,,,,0
JU043,,,,,0
JU048,,,,,0
JU049,,,,,3
JU051,,,,,0
JU052,,,,,0
JU054,,,,,0
JU055,,,,,0
JU056,,,,,2
JU058,,,,,0
JU060,,,,,2
JU061,,,,,6
JU064,,,,,2
JU066,,,,,1
JU068,,,,,0
JU069,,,,,0
JU070,,,,,2
JU072,,,,,1
JU073,,,,,2
JU075,,,,,1
JU081,,,,,0
JU084,,,,,2
JU085,,,,,2
JU086,,,,,2
JU087,,,,,2
JU088,,,,,13
JU090,,,,,5
JU091,,,,,2
JU092,,,,,2
JU095,,,,,0
JU097,,,,,7
JU098,,,,,5
JU099,,,,,5
JU101,,,,,6
JU103,,,,,0
JU104,,,,,2
JU105,,,,,3
JU106,,,,,0
JU107,,,,,0
JU108,,,,,1
JU109,,,,,0
JU110,,,,,5
JU111,,,,,0
JU112,,,,,0
JU113,,,,,0
JU115,,,,,3
JU116,,,,,1
JU117,,,,,0
JU118,,,,,1
JU121,,,,,4
JU122,,,,,0
JU124,,,,,2
JU125,,,,,2
JU126,,,,,6
JU127,,,,,3
JU129,,,,,2
JU132,,,,,5
JU135,,,,,0
JU136,,,,,6
JU137,,,,,4
JU138,,,,,4
JU140,,,,,4
JU142,,,,,4
JU143,,,,,2
JU144,,,,,0
JU145,,,,,2
JU146,,,,,2
JU148,,,,,0
JU149,,,,,0
JU150,,,,,2
JU152,,,,,4
JU153,,,,,4
JU154,,,,,1
JU155,,,,,0
JU156,,,,,0
JU157,,,,,4
JU158,,,,,5
JU159,,,,,5
JU160,,,,,0
JU161,,,,,1
JU162,,,,,3
JU163,,,,,4
JU164,,,,,0
JU166,,,,,4
JU167,,,,,0
JU168,,,,,1
JU169,,,,,3
JU170,,,,,2
JU174,,,,,0
JU175,,,,,0
JU176,,,,,2
JU177,,,,,0
JU179,,,,,0
JU180,,,,,0
LA007,,,,,1
LP001,,,,,0
LP004,,,,,1
LP011,,,,,0
LP014,,,,,0
LP016,,,,,0
LR016,,,,,1
LR019,,,,,2
LR021,,,,,1
LR025,,,,,0
LR026,,,,,0
LR029,,,,,2
LR032,,,,,1
LR040,,,,,1
ME011,,,,,0
ME017,,,,,0
ME021,,,,,0
ME024,,,,,2
ME026,,,,,0
ME032,,,,,1
ME033,,,,,3
ME036,,,,,2
ME042,,,,,2
ME049,,,,,1
ME055,,,,,2
MG010,,,,,1
MG012,,,,,0
mh001,,,,,0
mh002,,,,,1
MH002,,,,,1
mh003,,,,,2
mh004,,,,,4
mh005,,,,,2
mh006,,,,,2
mh007,,,,,7
mh008,,,,,1
mh009,,,,,0
mh010,,,,,0
mh011,,,,,0
mh012,,,,,0
mh013,,,,,2
mh014,,,,,5
mh015,,,,,0
mh016,,,,,0
mh018,,,,,3
MH018,,,,,3
MR007,,,,,1
MZ006,,,,,0
MZ008,,,,,1
on005,,,,,6
on007,,,,,3
on008,,,,,3
on009,,,,,1
on010,,,,,0
ON011,,,,,0
on016,,,,,3
ON016,,,,,3
on017,,,,,1
on018,,,,,4
ON019,,,,,0
on024,,,,,1
ON025,,,,,0
on026,,,,,2
ON026,,,,,2
on029,,,,,3
on030,,,,,1
ON030,,,,,1
on031,,,,,2
on034,,,,,1
on035,,,,,0
ON035,,,,,0
on038,,,,,0
on043,,,,,0
ON046,,,,,0
on048,,,,,0
on050,,,,,0
on051,,,,,1
on052,,,,,0
ON066,,,,,0
on069,,,,,0
on071,,,,,0
on072,,,,,1
on073,,,,,1
on081,,,,,5
ON081,,,,,5
on083,,,,,0
on089,,,,,2
ON089,,,,,2
on090,,,,,0
ON090,,,,,0
on098,,,,,0
ON098,,,,,0
on100,,,,,5
on107,,,,,3
on108,,,,,2
on109,,,,,7
on110,,,,,6
ON111,,,,,0
on113,,,,,2
on116,,,,,1
ON121,,,,,1
on123,,,,,0
on125,,,,,2
on127,,,,,1
on133,,,,,2
ON133,,,,,2
on136,,,,,5
on137,,,,,12
on138,,,,,0
ON138,,,,,0
on141,,,,,1
on144,,,,,5
on145,,,,,5
on148,,,,,4
on151,,,,,4
on156,,,,,3
on160,,,,,0
on163,,,,,4
on165,,,,,2
on166,,,,,0
on170,,,,,1
on173,,,,,5
on181,,,,,5
on185,,,,,0
on186,,,,,3
ON186,,,,,3
on189,,,,,0
on190,,,,,5
on192,,,,,3
on193,,,,,3
on200,,,,,0
on205,,,,,0
on206,,,,,0
ON206,,,,,0
on207,,,,,0
ON207,,,,,0
on208,,,,,0
on210,,,,,0
ON210,,,,,0
on211,,,,,0
OT012,,,,,1
PB003,,,,,2
PB013,,,,,5
PB018,,,,,3
PB032,,,,,3
PB038,,,,,4
PR012,,,,,1
RG001,,,,,1
RG005,,,,,1
RG007,,,,,0
S1007,,,,,4
S1031,,,,,4
S1034,,,,,4
S1051,,,,,0
S1057,,,,,3
S1060,,,,,6
S1073,,,,,3
SG004,,,,,0
SJ001,,,,,0
SU008,,,,,0
SU009,,,,,0
SU014,,,,,0
SU016,,,,,0
SU019,,,,,0
T1023,,,,,3
TL001,,,,,0
TL005,,,,,0
WA005,,,,,0
WD017,,,,,6
WD024,,,,,5
WD038,,,,,0
WD046,,,,,4
WD047,,,,,5
WD053,,,,,5
WD078,,,,,5
